"address","descriptive_name","confidence","disc1_present","disc2_present","instructions","static_call_sites","direct_callees","has_return","disc1_overlay_referenced","disc2_overlay_referenced","embedded_asset_range","disc1_seed_evidence","disc2_seed_evidence","disc1_exact_sha256","disc2_exact_sha256","structural_sha256","sf3_address","sf3_match_kind"
"0x80010010",,,"1","1","163","2","0","1","0","0","0","direct_call","direct_call","044089445a09442549dac7e3bbec409b94dc8df0492f5bb25f13af656cf2896f","044089445a09442549dac7e3bbec409b94dc8df0492f5bb25f13af656cf2896f","6e881ff8fe373673451cc8834dd43df05b4b755d2a6cad5f4efc2b75b7e26796","0x80010010","exact"
"0x8001029c",,,"1","1","48","1","1","1","0","0","0","direct_call","direct_call","c416e8792ac471c7d3ef76b58c4c9112a2b9506428c172c6ab35878597a73275","c416e8792ac471c7d3ef76b58c4c9112a2b9506428c172c6ab35878597a73275","4896a5d9113d122cd4fc42056fa524bffebac65057a84b6bee0ce1f855699312","0x8001029C","exact"
"0x8001035c",,,"1","1","47","2","1","1","0","0","0","direct_call","direct_call","fc3bd5e307e2bee15fad73328eaa4c5a3d82a7c6fdb322e7d0414bb85d872851","fc3bd5e307e2bee15fad73328eaa4c5a3d82a7c6fdb322e7d0414bb85d872851","fb501e763a9ef1bc2ffc27a3ddbe57ca4269c134fbb7ee407fe8853d04787529","0x8001035C","exact"
"0x80010418",,,"1","1","9","2","0","1","0","0","0","direct_call","direct_call","9584968577043c02646b51b40bc950d3516aaebea4817eb1735b22840c3484fa","9584968577043c02646b51b40bc950d3516aaebea4817eb1735b22840c3484fa","3959513715c6b1e9317584dc6f80409c059105daf6287247c1ebea90c8d9bfab","0x80010418","exact"
"0x80010444",,,"1","1","132","2","0","1","0","0","0","direct_call","direct_call","b80b853d1518c45d100bb3ee42e67a0cc7bc51db06f1614bd87783cd952f834c","b80b853d1518c45d100bb3ee42e67a0cc7bc51db06f1614bd87783cd952f834c","479160244fb55ac4dbdd640a8140190008adbdca30c7d638dbb299edcc4706eb",,
"0x80010654","FixedPoint_Multiply","confirmed","1","1","8","542","0","1","1","1","0","direct_call+overlay","direct_call+overlay","84f639497ec5ca2bbaeb29cb0f61b249217fda8af9a6e281b97ec49925558734","84f639497ec5ca2bbaeb29cb0f61b249217fda8af9a6e281b97ec49925558734","0cf38654cc27d745703d3585835a2fe8a4d0a04e840bf8de44ffc793ffdd8f6d","0x80010654","exact"
"0x80010698",,,"1","1","37","54","0","1","1","0","0","direct_call+overlay","direct_call","9f61f72e629938923f50a809ee71ab408f950e1c1e7b6eb149f7a68bd62b7bee","9f61f72e629938923f50a809ee71ab408f950e1c1e7b6eb149f7a68bd62b7bee","45f18075a378dcbcdfd855e70d30da7a23d97f15d9a47b9f73647b11fe1b8221","0x80010698","exact"
"0x80010750",,,"1","1","16","36","0","1","1","1","0","direct_call+overlay","direct_call+overlay","78e966e34aadf837c5e622c18410f2ddaa0f345201ae956f353159269afde891","78e966e34aadf837c5e622c18410f2ddaa0f345201ae956f353159269afde891","24893cead493604a3e861641bf9b8020d78e16bcbf24ad2c00e2875cfeb8974e","0x80010750","exact"
"0x800107b4",,,"1","1","23","18","0","1","1","0","0","direct_call+overlay","direct_call","2bae882cda2de156361d32c1407d46fcc2732bda6a720303f0c15423955fe384","2bae882cda2de156361d32c1407d46fcc2732bda6a720303f0c15423955fe384","12c21dcdf61c7c292f242e964cc93f95cd5fc582192757e4998c6308d1fe0266","0x800107B4","exact"
"0x80010810",,,"1","1","15","1","0","1","0","0","0","direct_call","direct_call","5a1178a901c0acb7df54f99459aa2475216263871eb4a8a9e1d7607e39fbba38","5a1178a901c0acb7df54f99459aa2475216263871eb4a8a9e1d7607e39fbba38","604db80e0e30e298febcaae8113c80344185ca5d54316868e5a761df636604c8",,
