disc,selection_index,mission_one_based,resource,action_occurrences,distinct_cues,minimum_cue,maximum_cue,distinct_groups,distinct_channels
1,0,1,COLO,42,40,0,344,"0;1;2;3;4;6;7;8;9;10;11;13;15;18;21;22","0;2;3;4;5;6;7;8;9;10;11;12;13;14"
1,1,2,AIRBASE,17,16,21,345,"1;2;4;5;6;8;9;18;19;21;23","0;1;2;3;4;6;7;8;13;14"
1,2,3,HWAY,51,42,6,336,"0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;17;18;21;22","0;1;2;3;4;5;6;7;8;9;10;11;12;13;14"
1,3,4,BRIDGE,18,17,22,344,"1;2;3;4;5;7;10;13;15;18;21;22","0;1;2;4;5;7;8;9;10;11;12;13;14"
1,4,5,AIRBASEX,31,28,1,345,"0;1;2;4;5;6;8;10;11;12;18;19;21;23","0;1;2;4;5;6;7;8;9;10;11;12;14"
1,5,6,TRAIN,5,5,206,234,"13;14;15","9;11;12;13"
1,6,7,TRAIN2,7,7,29,344,"1;11;18;21;22","0;4;5;10;13;14"
1,7,8,WRECK,20,16,52,344,"3;4;6;7;9;10;11;14;18;21;22","0;3;4;5;6;7;8;9;11;12;13;14"
2,8,9,DISCO,15,13,49,512,"3;4;5;7;24;26;28;29;31;32;34","2;3;4;5;8;9;10;11;13"
2,9,10,DARKMUSE,38,31,52,511,"3;4;5;6;8;12;13;14;15;16;17;18;19;22;23;25;26;29;32;33;34","0;1;2;3;4;5;6;7;8;9;10;11;13;14"
2,10,11,MOSCOW,14,13,102,512,"6;10;13;20;22;26;29;31;32;34","2;3;4;5;6;7;9;10;11;12"
2,11,12,MOSCOW2,12,12,66,512,"4;11;14;22;24;26;29;31;32;34","1;2;3;6;9;10;11"
2,12,13,MOSCOW3,10,10,220,512,"14;17;18;24;26;29;32;34","2;3;4;6;8;9;10;11"
2,13,14,GARAGE,6,6,84,297,"5;8;14;15;19","2;7;9;10;11;12"
2,14,15,GULAG,48,42,12,519,"0;1;2;3;4;6;7;8;9;10;11;12;14;15;16;19;20;22;29;31;32;34","0;1;2;3;5;6;7;8;9;10;11;12;13;14"
2,15,16,GULAG2,42,38,3,512,"0;1;2;3;4;5;8;11;12;15;16;17;18;19;21;22;23;25;29;31;32;34","0;1;2;3;4;5;6;7;8;9;10;11;12;13;14"
2,16,17,LABS1,53,41,2,511,"0;1;4;6;7;8;9;11;12;13;15;16;17;19;20;21;22;23;24;25;26;28;29;32;34","0;1;2;3;4;5;6;7;8;9;10;12;13;14"
2,17,18,LABS2,11,11,31,511,"2;5;10;18;24;29;32;33;34","0;1;2;5;6;7;8;11"
2,18,19,SLUMS,25,21,30,511,"2;7;8;10;12;13;16;19;21;24;25;29;32;33;34","0;1;2;3;4;6;7;8;9;11;13"
2,19,20,SLUMS2,30,29,7,511,"0;2;5;7;8;9;12;15;16;18;19;20;21;22;23;25;29;32;33;34","0;1;2;3;4;5;6;7;8;9;10;11;12;13"
2,20,21,CHINBOSS,39,36,11,511,"0;2;3;4;6;7;8;11;13;14;15;17;18;19;23;24;26;29;32;33;34","0;1;2;3;4;5;6;7;8;9;10;11;12"
