class_family,handler_address,owner
0x0,0x8003A568,direct
0x1,0x8008244C,direct
0x2,0x8008244C,direct
0x3,0x8008244C,direct
0x4,0x80109000,OBJ_GEN
0x5,0x80078C24,direct
0x6,0x80108FE0,OBJ_SND
0x7,0x80108FBC,OBJ_PART
0x8,0x8014C16C,MISSION_OVERLAY
0x9,0x80108F98,OBJ_BEAM
0xA,0x80109000,OBJ_GEN
0xB,0x80108F74,OBJ_INTR
0xC,0x80108F74,OBJ_INTR
0xD,0x80108F54,OBJ_CAT
0xE,0x80108F30,OBJ_DOOR
0xF,0x80108F0C,OBJ_DORP
0x10,0x80108F0C,OBJ_DORP
0x11,0x80108F0C,OBJ_DORP
0x12,0x80108F30,OBJ_DOOR
0x13,0x80108EE8,OBJ_ELEF
0x14,0x80108FE0,OBJ_SND
0x15,0x80108EC8,OBJ_TGT
0x16,0x80108EA4,OBJ_ELEV
0x17,0x80048230,direct
0x18,0x80108E80,OBJ_FNPC
0x19,0x80108E60,OBJ_ROT
0x1A,0x80108E3C,OBJ_FIRE
0x1B,0x80108E3C,OBJ_FIRE
0x1C,0x80108E3C,OBJ_FIRE
0x1D,0x80108E3C,OBJ_FIRE
0x1E,0x80048230,direct
0x1F,0x80108EC8,OBJ_TGT
0x20,0x80108EC8,OBJ_TGT
0x21,0x80108EC8,OBJ_TGT
0x22,0x80108E18,OBJ_EFX3
0x23,0x80109000,OBJ_GEN
0x24,0x80108DF4,OBJ_GLSS
0x25,0x80108DF4,OBJ_GLSS
0x26,0x80108DF4,OBJ_GLSS
0x27,0x80108DF4,OBJ_GLSS
0x28,0x80108DF4,OBJ_GLSS
0x29,0x80108DF4,OBJ_GLSS
0x2A,0x80109000,OBJ_GEN
0x2B,0x80108DF4,OBJ_GLSS
0x2C,0x80108DF4,OBJ_GLSS
0x2D,0x80108DD0,OBJ_HELI
0x2E,0x80108E60,OBJ_ROT
0x2F,0x80108DAC,OBJ_IMAG
0x30,0x80108DAC,OBJ_IMAG
0x31,0x80108F74,OBJ_INTR
0x32,0x80108D8C,OBJ_LIT
0x33,0x80108D68,OBJ_LROT
0x34,0x80108D8C,OBJ_LIT
0x35,0x80108D8C,OBJ_LIT
0x36,0x80108D8C,OBJ_LIT
0x37,0x80108D8C,OBJ_LIT
0x38,0x80108D8C,OBJ_LIT
0x39,0x80108D8C,OBJ_LIT
0x3A,0x80108D8C,OBJ_LIT
0x3B,0x80108D8C,OBJ_LIT
0x3C,0x80108D8C,OBJ_LIT
0x3D,0x80108D44,OBJ_LDET
0x3E,0x80108D24,OBJ_LIR
0x3F,0x80108D8C,OBJ_LIT
0x40,0x80108D68,OBJ_LROT
0x41,0x80108D00,OBJ_LSPT
0x42,0x80109000,OBJ_GEN
0x43,0x80109000,OBJ_GEN
0x44,0x80108CDC,OBJ_NVIS
0x45,0x80108CB8,OBJ_NVNS
0x46,0x80108C94,OBJ_PATH
0x47,0x800AC9E0,direct
0x48,0x800AC9E0,direct
0x49,0x800AC9E0,direct
0x4A,0x80108C70,OBJ_RAIN
0x4B,0x80108C4C,OBJ_EFX4
0x4C,0x80038DD0,direct
0x4D,0x80038DD0,direct
0x4E,0x80108C2C,OBJ_EFX
0x4F,0x80108C2C,OBJ_EFX
0x50,0x80108C08,OBJ_SNKF
0x51,0x80108BE4,OBJ_SNOW
0x52,0x80108BC0,OBJ_EFX2
0x53,0x80108BC0,OBJ_EFX2
0x54,0x80108B9C,OBJ_SWIT
0x55,0x80108B9C,OBJ_SWIT
0x56,0x80108B9C,OBJ_SWIT
0x57,0x80108B9C,OBJ_SWIT
0x58,0x80108B9C,OBJ_SWIT
0x59,0x80108B9C,OBJ_SWIT
0x5A,0x80108B9C,OBJ_SWIT
0x5B,0x80048230,direct
0x5C,0x80108EC8,OBJ_TGT
0x5D,0x80108EC8,OBJ_TGT
0x5E,0x80108C2C,OBJ_EFX
0x5F,0x80108B7C,OBJ_VEH
0x60,0x80108B7C,OBJ_VEH
0x61,0x80108DF4,OBJ_GLSS
0x62,0x80108D8C,OBJ_LIT
0x63,0x80108D8C,OBJ_LIT
0x64,0x80108B58,OBJ_PARA
0x65,0x80108F30,OBJ_DOOR
0x66,0x8014B980,MISSION_OVERLAY
0x67,0x80108F74,OBJ_INTR
0x68,0x8014BC54,MISSION_OVERLAY
0x69,0x8014BA5C,MISSION_OVERLAY
0x6A,0x8014C2A4,MISSION_OVERLAY
0x6B,0x80108F74,OBJ_INTR
0x6C,0x80108B58,OBJ_PARA
0x6D,0x8014BC54,MISSION_OVERLAY
0x6E,0x80108B34,OBJ_PROP
0x6F,0x8014BB70,MISSION_OVERLAY
0x70,0x8014C140,MISSION_OVERLAY
0x71,0x800C2A24,direct
0x72,0x80108B10,OBJ_SCAM
0x73,0x8014BB78,MISSION_OVERLAY
0x74,0x8014C654,MISSION_OVERLAY
0x75,0x8014C654,MISSION_OVERLAY
0x76,0x8014C16C,MISSION_OVERLAY
0x77,0x80108F74,OBJ_INTR
0x78,0x80108F54,OBJ_CAT
0x79,0x80108D24,OBJ_LIR
0x7A,0x80109000,OBJ_GEN
0x7B,0x80108EC8,OBJ_TGT
0x7C,0x80108EC8,OBJ_TGT
0x7D,0x80108EC8,OBJ_TGT
0x7E,0x8014B998,MISSION_OVERLAY
0x7F,0x80108FE0,OBJ_SND
0x80,0x80108D8C,OBJ_LIT
0x81,0x80077514,direct
0x82,0x80108FE0,OBJ_SND
0x83,0x80108FE0,OBJ_SND
