"event_id","records","missions","programs","distinct_selectors","minimum_selector","maximum_selector","event_flag_forms"
"0","88","20","88","2","0","16383","0xC0"
"1","178","21","178","2","0","16383","0xC0"
"2","3","1","3","1","0","0","0xC0"
"3","1143","20","140","247","0","258","0xC0"
"4","114","14","34","73","1","242","0xC0"
"5","172","20","92","138","0","36865","0xC0"
"6","45","6","10","27","0","16383","0xC0"
"8","301","21","119","12","0","11","0xC0"
"9","274","19","102","171","0","33536","0xC0"
"10","52","15","33","45","0","326","0xC0"
"11","62","15","39","6","0","5","0xC0"
"12","2","2","2","2","13","149","0xC0"
"13","122","14","46","105","1","37649","0xC0"
"14","41","12","23","38","5","37649","0xC0"
"15","3","3","3","3","159","40448","0xC0"
"16","57","17","57","1","0","0","0xC0"
"17","17","5","10","17","1","181","0xC0"
"18","60","16","46","48","1","16383","0xC0"
"21","23","8","16","19","6","254","0xC0"
"22","3","2","3","2","129","159","0xC0"
"23","5","2","3","4","6","100","0xC0"
"24","17","8","14","16","13","309","0xC0"
"25","31","14","24","25","1","40448","0xC0"
"26","1","1","1","1","0","0","0xC0"
"27","4","2","4","1","0","0","0xC0"
"28","18","16","18","1","0","0","0xC0"
"29","2","1","2","2","4","30","0xC0"
"30","4","3","3","4","3","10","0xC0"
"31","23","7","15","22","1","33792","0xC0"
"32","5","2","3","5","111","205","0xC0"
"33","90","17","65","72","0","337","0xC0"
"34","71","13","52","61","0","337","0xC0"
"35","2","2","2","1","0","0","0xC0"
"37","1","1","1","1","17","17","0xC0"
"38","1","1","1","1","17","17","0xC0"
"39","2","2","2","1","0","0","0xC0"
"40","77","13","38","66","0","33823","0xC0"
"41","3","2","2","3","73","89","0xC0"
