opcode,handler,storage-level operation,confidence
0x00,0x800b0324,compare the active scene-speech state halfword with operand 0,confirmed
0x01,0x800b031c,return false,confirmed
0x02,0x800b0358,test object byte +0x27 bit 1 clear,confirmed
0x03,0x800b038c,test object signed health greater than zero,confirmed
0x04,0x800b03bc,test selected program variable equal to operand 1,confirmed
0x05,0x800b0400,test current-program timer equal to operand 1,confirmed
0x06,0x800b0428,test progress-record word +0x04 bit selected by operand 0,confirmed
0x07,0x800b04a4,test selected program variable equal to zero,confirmed
0x08,0x800b04e0,test object-table low-11-bit field resolver result equal to zero,strong
0x09,0x800b0500,test actor/object lookup result equal to zero,strong
0x0a,0x800b0520,test both the 0x08 and 0x09 lookup conditions,strong
0x0b,0x800b0570,test selected unsigned program variable greater than operand 1,confirmed
0x0c,0x800b05ac,test selected unsigned program variable less than operand 1,confirmed
0x0d,0x800b05e8,test player-to-object distance no greater than operand 1 multiplied by 32,strong
0x0e,0x800b0460,test progress-record word +0x0c bit set and word +0x04 bit clear,confirmed
0x0f,0x800b0630,test progress-record word +0x08 bit selected by operand 0,confirmed
0x10,0x800b0668,test progress-record word +0x1c bit selected by operand 0,confirmed
0x11,0x800b06a0,test object signed health equal to the -2 sentinel,confirmed
0x12,0x800b06d8,test selected program variable nonzero,confirmed
0x13,0x800b0714,test player-state packed bit selected by operand 0,confirmed
0x14,0x800b09ec,test current event selector halfword equal to operand 0,confirmed
0x15,0x800b0774,test object signed health no greater than zero,confirmed
0x16,0x800b07a4,test object node word bit 17,confirmed
0x17,0x800b07dc,test a retail random value modulo 100 no greater than operand 0,confirmed
0x18,0x800b0844,test object node payload word nonzero,confirmed
0x19,0x800b0874,test player-state packed bit 3,confirmed
0x1a,0x800b0924,test both player-state packed bits 3 and 20,confirmed
0x1b,0x800b08cc,test player-state packed bit 20,confirmed
0x1c,0x800b09ec,test current event selector halfword equal to operand 0,confirmed
0x1d,0x800b0a00,test current event argument halfword equal to operand 0,confirmed
0x1e,0x800b0a14,return the global script-state byte,confirmed
0x1f,0x800b0a24,test object signed health no greater than zero,confirmed
0x20,0x800b09ec,test current event selector halfword equal to operand 0,confirmed
0x21,0x800b0a70,test object nested-state word bit 23 clear,confirmed
0x22,0x800b0974,test player class is not 8 and player-state packed bit 13 is set,confirmed
0x23,0x800b09ec,test current event selector halfword equal to operand 0,confirmed
0x24,0x800b0ab4,test selected program variable equal to operand 1,confirmed
0x25,0x800b0af8,test global script-latch bit selected by operand 0,confirmed
0x26,0x800b0b14,test player-state byte +0x0c equal to 10,confirmed
0x30,0x800b02f8,set global script-latch bit selected by operand 0 (side effect),confirmed
0x31,0x800b22a4,assign operand 1 to a selected program variable (side effect),confirmed
0x32,0x800b2838,assign operand 1 to a current-program timer (side effect),confirmed
0x33,0x800b0f70,assign object nested-state word bit 0 from operand 1 (side effect),confirmed
0x34,0x800b0fd4,assign object nested-state word bit 4 from operand 1 (side effect),confirmed
0x35,0x800b0e58,assign object nested-state word bit 3 from operand 1 (side effect),confirmed
0x36,0x800b0c30,clear object byte +0x27 bit 1 when health is the -2 sentinel (side effect),confirmed
0x37,0x800b0c84,set object byte +0x27 bit 1 and deactivate the actor (side effect),confirmed
0x38,0x800b1e9c,reveal and present one objective (shared action handler),confirmed
0x39,0x800b1ec0,record and present one objective failure (shared action handler),confirmed
0x3a,0x800b1eec,complete or clear one objective according to operand 1 (shared action handler),confirmed
0x3b,0x800b2088,activate a mission-script program by table index (shared action handler),confirmed
0x3c,0x800b20bc,deactivate a mission-script program by table index (shared action handler),confirmed
0x3d,0x800b20f0,set a mission-package bit (shared action handler),confirmed
0x3e,0x800b2140,clear a mission-package bit (shared action handler),confirmed
0x3f,0x800b2194,increment a selected program variable (shared action handler),confirmed
