"opcode","sf2_handler","sf3_handler","sf2_metadata_0","sf2_metadata_1","sf3_metadata_0","sf3_metadata_1","metadata_equal","sf2_occurrences","sf3_occurrences"
"0x00","0x800B02F8","0x800B2F28","0x24","0xFF","0x24","0xFF","1","20","28"
"0x01","0x800B22A4","0x800B5164","0x4","0xFE","0x4","0xFE","1","754","1931"
"0x02","0x800B2838","0x800B5618","0xA","0xFE","0xA","0x29","0","451","886"
"0x03","0x800B0F70","0x800B3CF8","0x0","0xFE","0x0","0xFE","1","120","126"
"0x04","0x800B0FD4","0x800B3D5C","0x0","0xFE","0x0","0xFE","1","89","29"
"0x05","0x800B0E58","0x800B3BE0","0x0","0xFE","0x0","0xFE","1","4","3"
"0x06","0x800B0C30","0x800B3918","0x0","0xFF","0x0","0xFF","1","692","486"
"0x07","0x800B0C84","0x800B396C","0x0","0xFF","0x0","0xFF","1","562","586"
"0x08","0x800B1E9C","0x800B4C9C","0xD","0xFF","0x25","0xD","0","37","261"
"0x09","0x800B1EC0","0x800B3FD8","0xD","0xFF","0x0","0xFE","0","34","749"
"0x0A","0x800B1EEC","0x800B5828","0xD","0xFE","0xFE","0xFF","0","33","3"
"0x0B","0x800B2088","0x800B4F48","0x9","0xFF","0x9","0xFF","1","255","390"
"0x0C","0x800B20BC","0x800B4F7C","0x9","0xFF","0x9","0xFF","1","106","205"
"0x0D","0x800B20F0","0x800B4FB0","0x3","0xFF","0x3","0xFF","1","184","435"
"0x0E","0x800B2140","0x800B5000","0x3","0xFF","0x3","0xFF","1","767","942"
"0x0F","0x800B2194","0x800B5054","0x4","0xFF","0x4","0xFF","1","48","263"
"0x10","0x800B21D8","0x800B5098","0x4","0xFF","0x4","0xFF","1","0","15"
"0x11","0x800B1A10","0x800B47C4","0x1","0xFF","0x1","0xFF","1","66","460"
"0x12","0x800B1A30","0x800B47E4","0x1","0xFF","0x1","0xFF","1","39","239"
"0x13","0x800B1030","0x800B3DB8","0x0","0x0","0x0","0x0","1","370","403"
"0x14","0x800B0E94","0x800B3C1C","0x0","0xC","0x0","0xC","1","379","319"
"0x15","0x800B1100","0x800B3E88","0x0","0xFF","0x0","0xFF","1","22","86"
"0x16","0x800B23D0","0x800B5290","0xB","0x0","0xB","0x0","1","213","27"
"0x17","0x800B246C","0x800B532C","0xB","0xFF","0xB","0xFF","1","308","181"
